pid,model,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,divergences,discontinuities
5a9f566d777df2000160326c,WSLS,0.0,-6.00848577299621,0.6680704951286316,0.0,0.9999999999982532,3.998124016378738,0.0,1.0,0.0,0.0
5a9f566d777df2000160326c,Bayes,1.0,-6.967220564605668,0.5639975666999817,0.9587347916094586,0.0,3.641749489724635,0.4031646026899016,1.0,0.0,0.0
5a9f566d777df2000160326c,RWModel,2.0,-20.956433633415145,0.8004153370857239,14.947947860418935,1.7468249069452213e-12,3.556282642923553,3.2151816665099835,1.0,0.0,0.0
5abc27db68b65b00018d000f,WSLS,0.0,-9.642216994136106,0.7633260488510132,0.0,0.8166237688415314,4.647233828020046,0.0,0.0,0.0,0.0
5abc27db68b65b00018d000f,Bayes,1.0,-10.050993777171245,0.6831067800521851,0.4087767830351367,0.0,3.934712197593029,0.7557539391513053,0.0,0.0,0.0
5abc27db68b65b00018d000f,RWModel,2.0,-14.201321557094843,0.1845836192369461,4.559104562958737,0.1833762311584685,2.6924516057785874,4.372529892522585,0.0,0.0,0.0
5ac4fbad1667e40001d8615e,WSLS,0.0,-9.68652142828796,0.7864044904708862,0.0,0.9999999999997152,4.626173850035179,0.0,0.0,0.0,0.0
5ac4fbad1667e40001d8615e,Bayes,1.0,-10.885418183868753,0.8346664905548096,1.1988967555807903,0.0,4.327121681939529,0.4138424567736172,0.0,0.0,0.0
5ac4fbad1667e40001d8615e,RWModel,2.0,-19.602311121783718,1.200157642364502,9.915789693495752,2.848832281188152e-13,4.608185790932714,3.0021707455586384,1.0,0.0,0.0
5af9fab60a7ecb00011820b8,Bayes,0.0,-20.285897799767557,1.3483206033706665,0.0,0.0,4.313684407050912,0.0,0.0,0.0,0.0
5af9fab60a7ecb00011820b8,WSLS,1.0,-20.332827549427748,0.8875627517700195,0.0469297496601939,0.5601254958166386,5.054361270072541,1.4564561589500542,0.0,0.0,0.0
5af9fab60a7ecb00011820b8,RWModel,2.0,-20.59398210762734,1.376028537750244,0.308084307859787,0.4398745041833614,4.427382653941466,3.031892905860242,1.0,0.0,0.0
5afa1dfb3aba4900015f26a6,RWModel,0.0,-22.07024749870608,1.4483479261398315,0.0,0.7449137691121438,4.671804982418787,0.0,1.0,0.0,0.0
5afa1dfb3aba4900015f26a6,Bayes,1.0,-25.584909221623093,1.6184160709381104,3.5146617229170127,0.0,4.125711153001245,3.2748636463774266,0.0,0.0,0.0
5afa1dfb3aba4900015f26a6,WSLS,2.0,-26.139715109718964,0.9226140975952148,4.069467611012883,0.2550862308878562,4.772234547339623,4.413030742732722,0.0,0.0,0.0
5b05e0d131cebe000177c38e,RWModel,0.0,-10.57519033542394,0.2783505916595459,0.0,1.0,2.6132684139085214,0.0,0.0,0.0,0.0
5b05e0d131cebe000177c38e,Bayes,1.0,-14.642099507851526,1.4836511611938477,4.066909172427586,5.0903725679063434e-14,3.548497926994385,2.3841616628390563,1.0,0.0,0.0
5b05e0d131cebe000177c38e,WSLS,2.0,-22.53727310989052,1.028498291969299,11.96208277446658,0.0,5.091753677784606,4.906412769124933,0.0,0.0,0.0
5b2eb8a8532e3d00018df4df,WSLS,0.0,-35.362961787730455,0.881199836730957,0.0,0.7124186783649188,3.4785674521392016,0.0,0.0,0.0,0.0
5b2eb8a8532e3d00018df4df,Bayes,1.0,-36.51191129907966,1.4122236967086792,1.1489495113492012,0.0,3.048803266646465,1.1459483235942085,0.0,0.0,0.0
5b2eb8a8532e3d00018df4df,RWModel,2.0,-36.94576797285117,1.3892083168029783,1.5828061851207167,0.2875813216350812,2.9920464259345247,2.8285434930791253,0.0,0.0,0.0
5b342c9da2982a0001dd9f25,RWModel,0.0,-13.784757995771884,0.3191889822483063,0.0,1.0,3.250784933420629,0.0,0.0,0.0,0.0
5b342c9da2982a0001dd9f25,Bayes,1.0,-24.321496558375657,2.051252841949463,10.53673856260377,1.8059442830065109e-12,3.783853968123041,2.1952793544842493,0.0,0.0,0.0
5b342c9da2982a0001dd9f25,WSLS,2.0,-36.33795954566449,0.909795582294464,22.5532015498926,0.0,3.2788109846805638,3.4645954392363056,0.0,0.0,0.0
5b564680ed90280001510d9a,RWModel,0.0,-17.32255394343143,0.3097508549690246,0.0,0.9084236070320324,2.8508826389162154,0.0,0.0,0.0,0.0
5b564680ed90280001510d9a,Bayes,1.0,-21.95260232849978,1.743648886680603,4.63004838506835,0.0,3.73786037016733,2.546269591668716,0.0,0.0,0.0
5b564680ed90280001510d9a,WSLS,2.0,-24.41672523901798,0.9884368181228638,7.094171295586549,0.0915763929679677,4.987880624044335,4.399545683607796,0.0,0.0,0.0
5b589d330bc96b0001fa5d3c,RWModel,0.0,-13.812991035166306,0.6906151175498962,0.0,0.953267981391294,3.254304836377925,0.0,0.0,0.0,0.0
5b589d330bc96b0001fa5d3c,Bayes,1.0,-17.38370541483164,1.823728322982788,3.5707143796653327,1.6869940757052578e-17,3.413911430566771,2.8865545466008773,1.0,0.0,0.0
5b589d330bc96b0001fa5d3c,WSLS,2.0,-26.15039405436255,0.947783589363098,12.337403019196245,0.0467320186087061,4.883821327204675,5.2566638282379055,0.0,0.0,0.0
5b7aefd06c1ccb000178b710,Bayes,0.0,-14.866771966218948,1.5568130016326904,0.0,0.1761775780410911,3.311639385651819,0.0,1.0,0.0,0.0
5b7aefd06c1ccb000178b710,RWModel,1.0,-15.420854248763137,1.5000258684158323,0.5540822825441865,0.5877389347068346,3.763375700979489,3.361731981203467,1.0,0.0,0.0
5b7aefd06c1ccb000178b710,WSLS,2.0,-20.404649323550984,0.9736181497573853,5.537877357332036,0.2360834872520743,5.134770816233958,3.601879367624075,0.0,0.0,0.0
5b82247316aa4400016aa924,RWModel,0.0,-29.72182721927311,1.4799648523330688,0.0,0.7067987864361217,4.368646678456005,0.0,0.0,0.0,0.0
5b82247316aa4400016aa924,Bayes,1.0,-31.171486026141796,1.4214470386505127,1.449658806868683,2.2232056464174393e-16,3.572505814066082,2.377842728280797,0.0,0.0,0.0
5b82247316aa4400016aa924,WSLS,2.0,-32.12811042321846,1.0146706104278564,2.4062832039453497,0.293201213563878,4.168625602968248,3.4792091837506147,0.0,0.0,0.0
5bd0d9bf25db7b0001786a5b,RWModel,0.0,-23.138588066995094,1.5093231201171875,0.0,0.9761711464787072,4.394819779234656,0.0,1.0,0.0,0.0
5bd0d9bf25db7b0001786a5b,Bayes,1.0,-29.12109906808473,1.6201961040496826,5.982511001089635,5.635448645203403e-15,3.2230248732818283,2.443434670596559,0.0,0.0,0.0
5bd0d9bf25db7b0001786a5b,WSLS,2.0,-33.23000845964998,0.9012902975082396,10.091420392654882,0.0238288535212872,3.9241042806608872,3.926515616353761,0.0,0.0,0.0
5bd9f569eb22f2000183df4e,RWModel,0.0,-26.01229008747032,1.598182201385498,0.0,0.6533192202840297,4.686703480511502,0.0,1.0,0.0,0.0
5bd9f569eb22f2000183df4e,Bayes,1.0,-27.37778154946864,2.015753507614136,1.3654914619983174,2.2309961837003783e-16,3.9254110572921896,2.850591508848066,0.0,0.0,0.0
5bd9f569eb22f2000183df4e,WSLS,2.0,-29.386534778401256,0.9968615770339966,3.3742446909309365,0.3466807797159701,4.476609508348597,4.863309112194862,0.0,0.0,0.0
5be8a1701664db0001d804f8,Bayes,0.0,-24.38570503657684,1.794349193572998,0.0,0.9999999999996956,4.278110191530579,0.0,0.0,0.0,0.0
5be8a1701664db0001d804f8,RWModel,1.0,-32.027929736457736,1.720882773399353,7.642224699880899,0.0,3.917491414361205,2.7059321256214224,0.0,0.0,0.0
5be8a1701664db0001d804f8,WSLS,2.0,-33.30190784763545,0.9720966815948486,8.91620281105861,3.044231533522179e-13,3.9113942116999167,3.9795824810242855,0.0,0.0,0.0
5be8dab5d153f500019ab320,RWModel,0.0,-40.67865607060958,1.085233211517334,0.0,0.5554226921119659,1.562768310677938,0.0,0.0,0.0,0.0
5be8dab5d153f500019ab320,Bayes,1.0,-40.76211706851609,0.634905993938446,0.0834609979065135,0.4445773078880339,1.121920005017999,1.3567908543234783,0.0,0.0,0.0
5be8dab5d153f500019ab320,WSLS,2.0,-41.4350297274068,0.524850606918335,0.7563736567972228,1.1102230246251563e-16,1.3514987328226449,1.430698892876125,0.0,0.0,0.0
5befb6e27c387400016983bf,RWModel,0.0,-19.2236915027388,1.4207061529159546,0.0,0.8621314415686736,4.871070892821276,0.0,1.0,0.0,0.0
5befb6e27c387400016983bf,Bayes,1.0,-24.696100724395365,1.6169058084487915,5.472409221656562,1.377239681645838e-14,4.0713571297010684,3.448603114222893,0.0,0.0,0.0
5befb6e27c387400016983bf,WSLS,2.0,-26.200386034324765,0.9868198037147522,6.976694531585963,0.1378685584313126,4.807847686180573,4.647929124254569,0.0,0.0,0.0
5bf4afe0b8e9f800014c9c0b,RWModel,0.0,-16.74726104239764,0.6847115159034729,0.0,0.9999999999996227,3.018255348004153,0.0,0.0,0.0,0.0
5bf4afe0b8e9f800014c9c0b,Bayes,1.0,-21.24639044853393,2.0109782218933105,4.4991294061362925,0.0,3.573522688109957,2.275225622579557,0.0,0.0,0.0
5bf4afe0b8e9f800014c9c0b,WSLS,2.0,-32.06536309886724,0.9525248408317566,15.3181020564696,3.772537837676282e-13,4.18851600018164,4.5504789993456445,0.0,0.0,0.0
